time,open,high,low,close,tick_volume,spread,real_volume
2024-06-08 22:30:00,69478.32,69480.62,69452.43,69452.82,199,901,0
2024-06-08 22:35:00,69453.41,69461.57,69413.0,69456.98,403,677,0
2024-06-08 22:40:00,69456.69,69462.73,69418.45,69453.86,387,165,0
2024-06-08 22:45:00,69455.12,69490.63,69434.57,69476.12,351,1285,0
2024-06-08 22:50:00,69476.12,69482.24,69464.06,69467.86,186,1500,0
2024-06-08 22:55:00,69467.86,69472.44,69448.06,69451.74,233,1500,0
2024-06-08 23:00:00,69451.88,69469.01,69434.01,69465.19,297,1190,0
2024-06-08 23:05:00,69465.72,69468.63,69440.56,69449.08,222,1500,0
2024-06-08 23:10:00,69451.97,69471.2,69434.56,69456.26,261,1341,0
2024-06-08 23:15:00,69456.26,69481.47,69443.56,69448.63,356,826,0
2024-06-08 23:20:00,69449.14,69455.71,69433.31,69441.56,278,481,0
2024-06-08 23:25:00,69449.78,69452.96,69391.93,69396.35,359,1054,0
2024-06-08 23:30:00,69396.6,69405.64,69317.78,69360.25,548,651,0
2024-06-08 23:35:00,69360.25,69361.34,69295.64,69360.3,595,1278,0
2024-06-08 23:40:00,69358.73,69371.08,69347.92,69369.81,359,1277,0
2024-06-08 23:45:00,69371.76,69372.45,69341.43,69358.74,280,1368,0
2024-06-08 23:50:00,69358.74,69376.03,69351.82,69375.61,201,1382,0
2024-06-08 23:55:00,69374.21,69378.79,69346.83,69364.85,194,1500,0
2024-06-09 00:05:00,69335.94,69389.78,69314.2,69334.01,215,1134,0
2024-06-09 00:10:00,69334.01,69373.13,69304.19,69369.9,401,1275,0
2024-06-09 00:15:00,69369.9,69372.04,69338.66,69358.02,502,1500,0
2024-06-09 00:20:00,69358.27,69391.09,69351.97,69381.35,241,1331,0
2024-06-09 00:25:00,69381.02,69389.37,69360.99,69386.22,168,1410,0
2024-06-09 00:30:00,69386.22,69399.77,69366.07,69373.83,148,1380,0
2024-06-09 00:35:00,69373.85,69376.39,69370.99,69375.12,78,1500,0
2024-06-09 00:40:00,69371.77,69377.14,69363.18,69370.94,226,1302,0
2024-06-09 00:45:00,69371.94,69372.2,69361.19,69368.74,181,1500,0
2024-06-09 00:50:00,69368.99,69392.73,69368.99,69380.55,310,812,0
2024-06-09 00:55:00,69380.55,69414.71,69376.66,69390.31,323,865,0
2024-06-09 01:00:00,69391.64,69395.12,69388.68,69392.86,153,1269,0
2024-06-09 01:05:00,69392.76,69405.88,69357.78,69370.16,432,900,0
2024-06-09 01:10:00,69370.16,69382.84,69362.24,69375.18,328,753,0
2024-06-09 01:15:00,69375.31,69376.1,69337.84,69352.32,365,1280,0
2024-06-09 01:20:00,69352.45,69355.6,69279.8,69292.91,553,937,0
2024-06-09 01:25:00,69293.41,69302.01,69270.05,69285.05,434,1266,0
2024-06-09 01:30:00,69286.23,69332.97,69283.2,69325.28,319,1253,0
2024-06-09 01:35:00,69325.28,69326.56,69272.79,69290.38,630,1135,0
2024-06-09 01:40:00,69290.91,69329.57,69288.99,69325.62,410,1176,0
2024-06-09 01:45:00,69326.33,69326.43,69285.81,69304.35,392,1326,0
2024-06-09 01:50:00,69304.35,69334.32,69296.96,69332.04,399,1323,0
2024-06-09 01:55:00,69332.04,69332.04,69315.3,69327.17,372,1500,0
2024-06-09 02:00:00,69326.5,69332.04,69300.29,69321.72,551,1117,0
2024-06-09 02:05:00,69321.88,69326.46,69294.08,69298.96,469,1293,0
2024-06-09 02:10:00,69298.96,69331.96,69290.98,69313.04,446,1101,0
2024-06-09 02:15:00,69313.04,69314.3,69277.3,69286.55,453,1267,0
2024-06-09 02:20:00,69286.69,69324.53,69275.37,69312.78,554,900,0
2024-06-09 02:25:00,69311.86,69314.92,69283.92,69299.82,238,496,0
2024-06-09 02:30:00,69300.14,69305.92,69284.87,69293.35,237,1365,0
2024-06-09 02:35:00,69293.38,69307.4,69289.54,69296.54,266,545,0
2024-06-09 02:40:00,69296.54,69336.87,69293.94,69331.19,400,825,0
2024-06-09 02:45:00,69331.41,69332.39,69291.85,69295.68,331,1122,0
2024-06-09 02:50:00,69295.68,69330.77,69291.98,69314.94,437,1090,0
2024-06-09 02:55:00,69314.45,69316.05,69294.59,69297.57,369,1312,0
2024-06-09 03:00:00,69297.57,69302.02,69275.8,69277.89,231,1500,0
2024-06-09 03:05:00,69278.07,69301.5,69276.43,69281.03,403,1116,0
2024-06-09 03:10:00,69282.39,69302.25,69276.97,69295.83,281,1500,0
2024-06-09 03:15:00,69295.93,69314.53,69281.54,69308.26,300,1263,0
2024-06-09 03:20:00,69307.09,69313.18,69261.3,69267.36,469,900,0
2024-06-09 03:25:00,69270.04,69272.79,69259.02,69266.35,237,903,0
2024-06-09 03:30:00,69266.55,69280.54,69234.03,69240.0,326,1199,0
2024-06-09 03:35:00,69240.27,69284.79,69217.27,69284.79,347,880,0
2024-06-09 03:40:00,69283.34,69320.8,69268.07,69306.26,540,1343,0
2024-06-09 03:45:00,69306.55,69306.55,69266.04,69267.24,398,1500,0
2024-06-09 03:50:00,69267.24,69267.75,69257.91,69263.76,234,1500,0
2024-06-09 03:55:00,69263.55,69284.89,69251.74,69260.87,355,833,0
2024-06-09 04:00:00,69260.87,69272.75,69217.05,69259.42,559,896,0
2024-06-09 04:05:00,69259.42,69263.84,69241.68,69248.58,583,1369,0
2024-06-09 04:10:00,69252.9,69252.9,69228.63,69233.69,410,608,0
2024-06-09 04:15:00,69233.94,69262.88,69222.66,69256.5,672,719,0
2024-06-09 04:20:00,69256.79,69257.7,69230.21,69236.91,549,901,0
2024-06-09 04:25:00,69237.31,69283.94,69235.07,69275.77,702,1097,0
2024-06-09 04:30:00,69274.34,69319.2,69260.11,69312.91,748,365,0
2024-06-09 04:35:00,69313.18,69340.59,69302.97,69314.99,777,807,0
2024-06-09 04:40:00,69315.11,69320.21,69290.22,69290.57,465,409,0
2024-06-09 04:45:00,69289.48,69300.34,69261.43,69282.05,630,490,0
2024-06-09 04:50:00,69282.05,69293.22,69270.23,69282.68,486,509,0
2024-06-09 04:55:00,69278.87,69280.94,69259.84,69272.86,468,505,0
2024-06-09 05:00:00,69271.01,69296.15,69254.17,69278.8,384,1220,0
